X,Y,SIGLA,height_m,depth_m,length_horizontal_m,fr_stg_quant,Inj_sand_tn,inj_wat_m3,inj_CO2_m3,date_start_fr,date_finish_fr,basin,area_cencession,play,formation,type_play,subtype_play,type_techni,max_pres_psi,power_hp
-68.6473611,-38.2206861,VIS.NQ.BPO-2213(H),381,5926,2608,54,12229,70961,0,20210518,20210609,NEUQUINA,BAJADA DEL PALO OESTE,BAJADA DEL PALO OESTE,vaca muerta,NO CONVENCIONAL,SHALE,Tapon disparo,12626,24014
-69.22428,-38.41105,TA.NQ.APW.H-1,492,0,980,6,378,2032,0,20090107,20100108,NEUQUINA,AGUADA PICHANA ESTE ,AGUADA PICHANA ESTE MULICHINCO,mulichinco,CONVENCIONAL,,Jetteo,7409,0
-69.20043,-38.46261,TA.NQ.APW.H-2,517,2699,910,5,183,0,0,20091121,20091211,NEUQUINA,AGUADA PICHANA ESTE ,AGUADA PICHANA ESTE MULICHINCO,mulichinco,CONVENCIONAL,,Jetteo,0,0
-69.33129,-37.40227,CHA.NQ.ET.I-98BIS,867,1506,0,3,36,156,0,20100104,20100115,NEUQUINA,EL TRAPIAL ESTE,EL TRAPIAL,agrio,CONVENCIONAL,,Punzado,2700,913
-69.22729,-37.37947,CA.NQ.ETPA-21,794,1346,0,2,37,163,0,20100106,20100109,NEUQUINA,EL TRAPIAL ESTE,EL TRAPIAL,huitrin,CONVENCIONAL,,Punzado,2950,1261
-69.33143,-37.40221,SJ.NQ.ET.A-98,867,1456,0,1,8,47,0,20100107,20100107,NEUQUINA,EL TRAPIAL ESTE,EL TRAPIAL,agrio,CONVENCIONAL,,Punzado,2400,652
-68.261715,-38.9264783,APS.NQ.SA-1095,291,2640,0,1,18,63,42,20100107,20100118,NEUQUINA,AGUA DEL CAJON,EL SALITRAL,tordillo,CONVENCIONAL,,Punzado,2015,697
-69.20727,-37.38302,CSJ.NQ.ETPA-13,797,1578,0,1,0,28,0,20100110,20100110,NEUQUINA,EL TRAPIAL ESTE,EL TRAPIAL,huitrin,CONVENCIONAL,,Punzado,1650,387
-69.19899,-37.36636,SJ.NQ.ET.I-153,780,1234,0,1,0,28,0,20100118,20100118,NEUQUINA,EL TRAPIAL ESTE,EL TRAPIAL,huitrin,,,Punzado,2730,566
-69.24425,-37.38589,CHA.NQ.ET-938,823,828,0,1,9,44,0,20100119,20100119,NEUQUINA,EL TRAPIAL ESTE,EL TRAPIAL,agrio,,,Punzado,1970,512
