ID,X,Y,SIGLA,SIGLA_MOD,OBS,TYPE,SUBTYPE,FORM_PROD,PROF2,PROF,HIGH,CLAS,SUBCLAS,FLUID,START_DRIL,END_DRILL,START_TERM,END_TERM,FR_fr_quan,FR_sand_mt,FR_inj_w_m,FR_inj_co2,FR_w+s,FR_fr_star,FR_fr_end
96394,-68.374443999999997,-38.912500000000001,APS.Nq.Sa-1248,APS.NQ.SA-1248,,NO CONVENCIONAL,TIGHT,los molles,,2000,272,EXPLOTACION,DESARROLLO,Sumidero,01/08/2017,15/08/2017,20/08/2017,27/08/2017,1,34,72,69,86,08/20/17,08/27/17
23405,-69.210539999999995,-37.371899999999997,CSJ.Nq.ET-551,CSJ.NQ.ET-551,,CONVENCIONAL,No informado,huitrin,,1228,800,EXPLOTACION,DESARROLLO,Petrolifero,01/05/2003,07/05/2003,11/05/2003,17/05/2003,1,0,29,0,29,02/16/11,02/16/11
23267,-69.263130000000004,-37.369900000000001,CSJ.Nq.ET-455,CSJ.NQ.ET-455,,CONVENCIONAL,No informado,huitrin,,1220,846,EXPLOTACION,DESARROLLO,Petrolifero,01/07/2002,08/07/2002,17/07/2002,20/07/2002,1,15,48,0,54,03/02/12,03/02/12
80295,-69.256929999999997,-37.386189999999999,CA.Nq.ET-902,CA.NQ.ET-902,,CONVENCIONAL,No informado,huitrin,,1372,827,EXPLOTACION,DESARROLLO,Petrolifero,01/07/2008,05/07/2008,27/07/2008,03/08/2008,1,14,71,0,77,03/27/12,03/27/12
80747,-69.261560000000003,-37.392519999999998,CA.Nq.ET-920,CA.NQ.ET-920,,CONVENCIONAL,No informado,huitrin,,1398,846,EXPLOTACION,DESARROLLO,Petrolifero,01/09/2008,05/09/2008,17/10/2008,23/10/2008,1,12,42,0,47,08/26/10,08/26/10
80886,-69.270370000000000,-37.393909999999998,CA.Nq.ET-895,CA.NQ.ET-895,,CONVENCIONAL,No informado,huitrin,,1399,849,EXPLOTACION,DESARROLLO,Petrolifero,01/10/2008,06/10/2008,09/11/2008,15/11/2008,1,14,40,0,45,03/30/10,03/30/10
85132,-69.215660000000000,-37.385980000000004,CHA.Nq.ET-1194,CHA.NQ.ET-1194,,CONVENCIONAL,No informado,huitrin,,1385,824,EXPLOTACION,DESARROLLO,Petrolifero,01/12/2010,07/12/2010,08/03/2011,14/03/2011,1,10,51,0,55,03/10/11,03/10/11
89561,-69.322100000000006,-37.366599999999998,CHA.Nq.ET.a-1213,CHA.NQ.ET.A-1213,,CONVENCIONAL,No informado,huitrin,,1355,897,EXPLOTACION,AVANZADA,Petrolifero,01/12/2013,01/12/2013,01/12/2013,01/12/2013,1,11,63,0,67,10/23/12,10/23/12
85751,-69.204130000000006,-37.386960000000002,CHA.Nq.ET-1254,CHA.NQ.ET-1254,,CONVENCIONAL,No informado,huitrin,,1281,794,EXPLOTACION,DESARROLLO,Petrolifero,02/05/2011,13/05/2011,01/06/2011,12/06/2011,1,10,44,0,48,06/05/11,06/05/11
99237,-67.641073000000006,-38.786003999999998,APS.RN.ELO-1001		,APS.RN.ELO-1001,,CONVENCIONAL,No informado,lajas,,2887,388,EXPLOTACION,DESARROLLO,Petrolifero,02/08/2019,26/08/2019,30/09/2019,16/10/2019,1,53,99,127,120,09/30/19,10/16/19
23397,-69.302850000000007,-37.378590000000003,CSJ.Nq.ET-545,CSJ.NQ.ET-545,,CONVENCIONAL,No informado,agrio,,1488,865,EXPLOTACION,DESARROLLO,Petrolifero,03/06/2003,10/06/2003,15/06/2003,20/06/2003,1,21,47,0,55,06/18/12,06/18/12
23207,-69.212419999999995,-37.364480000000000,CSJ.Nq.ET-405,CSJ.NQ.ET-405,,CONVENCIONAL,No informado,huitrin,,1202,791,EXPLOTACION,DESARROLLO,Petrolifero,04/01/2002,08/01/2002,17/01/2002,21/01/2002,1,0,31,0,31,01/28/10,01/28/10
76315,-69.272549999999995,-37.387540000000001,CSJ.Nq.ET-843,CSJ.NQ.ET-843,,CONVENCIONAL,No informado,huitrin,,1323,844,EXPLOTACION,DESARROLLO,Petrolifero,04/01/2007,08/01/2007,18/01/2007,26/01/2007,1,22,65,0,74,03/24/12,03/24/12
87034,-69.374610000000004,-37.399369999999998,CHA.Nq.ET-1079,CHA.NQ.ET-1079,,CONVENCIONAL,No informado,huitrin,,1404,923,EXPLOTACION,DESARROLLO,Petrolifero,04/04/2012,13/04/2012,28/04/2012,02/05/2012,1,15,62,0,68,04/30/12,04/30/12
