ORIGIN TIME,LATITUDE,LONGITUDE,DEPTH,OBSERVED STATIONS,OBSERVATION NUMBER,ML MEDIAN,ML AVERAGE,ML ERROR,MW,MW ERROR,LATITUDE ERROR,LONGITUDE ERROR,DEPTH ERROR,ORIGIN TIME ERROR,GAP,RMS
2014-11-10T00:27:25.800000Z,-38.55,-69.027,2.1,5,11,1.389,1.434751,0.379,2.076,0.687,1.5,1.8,2.1,0.52,180,0.2
2014-12-17T08:00:29.300000Z,-38.234,-69.036,1.8,7,14,1.379,1.292665,0.537,2.256,0.877,3.7,3,2.9,0.59,187,0.2
2014-12-17T08:09:15.600000Z,-38.242,-69.033,1,5,9,1.5,1.499753,0.078,2.272,0.772,1.2,1.6,1.2,0.28,174,0
2014-12-17T08:10:23.600000Z,-38.197,-69.061,2.2,6,13,1.355,1.237793,0.554,2.095,0.74,4.7,3.6,3.3,1.08,263,0.4
2014-12-17T08:27:44.900000Z,-38.235,-69.035,1.6,6,12,1.3,1.277003,0.407,2.113,0.813,2.3,1.9,1.9,0.36,187,0.1
2014-12-17T11:25:37.300000Z,-38.227,-69.042,2.1,4,8,1.444,1.362819,0.127,2.125,0.681,1.9,2.6,2.2,0.33,228,0.1
2014-12-17T14:03:55.300000Z,-38.239,-69.034,1.5,9,20,1.738,1.78113,0.24,2.114,0.376,2.3,2.1,2.3,0.52,179,0.2
2014-12-17T16:12:50.900000Z,-38.235,-69.023,2,5,11,1.366,1.341471,0.137,2.272,0.906,0.7,1.6,1.7,0.39,162,0.1
2014-12-17T16:16:48.000000Z,-38.233,-69.035,2.1,9,20,1.437,1.420141,0.189,2.488,1.051,2.6,2.1,2.3,0.51,188,0.2
2014-12-17T20:20:39.800000Z,-38.232,-69.038,2.1,5,11,1.032,1.120434,0.256,2.211,1.179,2.8,2.2,2.4,0.4,195,0.1
2014-12-19T17:56:47.500000Z,-38.24,-69.031,1,5,11,1.858,1.864005,0.535,2.462,0.604,2.1,2.1,2.4,0.45,174,0.1
2014-12-20T03:30:34.900000Z,-38.225,-69.033,2.4,5,11,1.585,1.603037,0.109,2.276,0.691,12.8,9.1,8.3,1.04,200,0.4
2014-12-22T23:51:50.800000Z,-38.164,-69.031,1,5,11,0.899,1.108595,0.517,1.938,1.039,3.5,4.3,2.9,1.26,274,0.5
